"","Place","Year","Bup.patient","Rate.Denom","death","unemploy","Otps"
"1","Alamance",2016,543,159688,10,3730,0
"2","Alexander",2016,329,37428,4,756,0
"3","Alleghany",2016,62,10848,0,243,0
"4","Anson",2016,43,25448,0,616,0
"5","Ashe",2016,208,26924,2,598,0
"6","Avery",2016,163,17516,3,380,0
"7","Beaufort",2016,385,47526,1,1153,0
"8","Bertie",2016,80,19854,2,557,0
"9","Bladen",2016,174,33741,0,1005,0
"10","Brunswick",2016,966,126953,27,3197,0
"11","Buncombe",2016,883,256088,33,5183,3
"12","Burke",2016,487,88851,9,1935,0
"13","Cabarrus",2016,829,201590,31,4610,1
"14","Caldwell",2016,360,81449,8,1858,0
"15","Camden",2016,45,10418,0,239,0
"16","Carteret",2016,606,68890,11,1623,0
"17","Caswell",2016,69,22910,0,526,0
"18","Catawba",2016,810,156459,21,3632,2
"19","Chatham",2016,191,72243,1,1459,0
"20","Cherokee",2016,172,27905,3,632,0
"21","Chowan",2016,54,14383,0,358,0
"22","Clay",2016,42,10915,1,221,0
"23","Cleveland",2016,410,97144,3,2555,0
"24","Columbus",2016,438,56505,8,1447,0
"25","Craven",2016,562,103445,19,2180,1
"26","Cumberland",2016,903,327127,32,8129,2
"27","Currituck",2016,121,25809,4,665,0
"28","Dare",2016,394,35964,4,1346,0
"29","Davidson",2016,724,164926,21,3814,0
"30","Davie",2016,168,42013,8,905,0
"31","Duplin",2016,147,58969,1,1410,0
"32","Durham",2016,960,306212,15,7287,2
"33","Edgecombe",2016,140,53318,4,1942,0
"34","Forsyth",2016,1038,371511,43,8871,1
"35","Franklin",2016,234,64705,4,1530,0
"36","Gaston",2016,1346,216965,41,5624,1
"37","Gates",2016,29,11478,4,266,0
"38","Graham",2016,73,8558,0,273,0
"39","Granville",2016,287,59031,6,1263,0
"40","Greene",2016,62,21168,0,504,0
"41","Guilford",2016,1196,521330,58,13505,3
"42","Halifax",2016,193,51766,6,1636,0
"43","Harnett",2016,536,130881,10,2974,1
"44","Haywood",2016,525,60682,4,1292,1
"45","Henderson",2016,449,114209,7,2225,0
"46","Hertford",2016,97,24136,1,611,0
"47","Hoke",2016,141,53262,2,1310,0
"48","Hyde",2016,29,5517,0,199,0
"49","Iredell",2016,867,172916,13,4056,2
"50","Jackson",2016,173,42241,8,1022,0
"51","Johnston",2016,624,191450,9,4280,1
"52","Jones",2016,50,9845,1,238,0
"53","Lee",2016,442,59616,6,1539,1
"54","Lenoir",2016,287,57307,2,1619,0
"55","Lincoln",2016,390,81168,8,1933,0
"56","Macon",2016,147,34376,1,1007,0
"57","Madison",2016,69,21340,0,818,0
"58","Martin",2016,121,23172,1,471,0
"59","McDowell",2016,194,45075,1,662,1
"60","Mecklenburg",2016,1601,1054835,92,27563,3
"61","Mitchell",2016,209,15126,0,378,0
"62","Montgomery",2016,160,27418,0,603,0
"63","Moore",2016,526,95776,7,1978,1
"64","Nash",2016,253,94005,17,2883,1
"65","New Hanover",2016,1426,223483,55,5464,1
"66","Northampton",2016,50,20000,0,566,0
"67","Onslow",2016,815,187136,22,3501,0
"68","Orange",2016,433,141796,8,3167,0
"69","Pamlico",2016,63,12821,1,285,0
"70","Pasquotank",2016,120,39864,6,1092,0
"71","Pender",2016,345,59090,10,1419,0
"72","Perquimans",2016,42,13335,2,328,0
"73","Person",2016,350,39284,1,987,0
"74","Pitt",2016,729,177220,11,4903,3
"75","Polk",2016,148,20334,1,409,0
"76","Randolph",2016,645,143416,18,3285,0
"77","Richmond",2016,314,44939,3,1160,0
"78","Robeson",2016,565,133235,8,4007,1
"79","Rockingham",2016,456,91393,14,2304,0
"80","Rowan",2016,736,139933,26,3569,1
"81","Rutherford",2016,269,66421,6,1655,0
"82","Sampson",2016,169,63124,4,1606,0
"83","Scotland",2016,148,35244,0,1061,0
"84","Stanly",2016,323,60791,4,1354,0
"85","Stokes",2016,215,46097,6,1043,0
"86","Surry",2016,420,72113,3,1598,0
"87","Swain",2016,220,14346,0,433,0
"88","Transylvania",2016,229,33482,1,678,0
"89","Tyrrell",2016,13,4141,2,129,0
"90","Union",2016,529,226606,14,5091,1
"91","Vance",2016,301,44244,5,1286,1
"92","Wake",2016,2412,1046791,62,23871,2
"93","Warren",2016,39,19907,1,520,0
"94","Washington",2016,53,12195,0,360,0
"95","Watauga",2016,132,53922,2,1253,1
"96","Wayne",2016,407,124150,15,3116,1
"97","Wilkes",2016,663,68740,6,1444,1
"98","Wilson",2016,248,81661,7,2969,1
"99","Yadkin",2016,201,37532,3,771,0
"100","Yancey",2016,149,17678,1,385,0
"101","Alamance",2017,609,162391,27,3352,0
"102","Alexander",2017,392,37286,4,645,0
"103","Alleghany",2017,56,11031,1,218,0
"104","Anson",2017,47,24991,3,536,0
"105","Ashe",2017,228,26957,1,513,0
"106","Avery",2017,173,17536,1,322,0
"107","Beaufort",2017,413,47088,15,996,0
"108","Bertie",2017,81,19224,2,471,0
"109","Bladen",2017,201,33478,3,830,0
"110","Brunswick",2017,1191,130897,33,2868,0
"111","Buncombe",2017,1288,257607,82,4645,3
"112","Burke",2017,638,89293,12,1674,0
"113","Cabarrus",2017,1020,206872,66,4284,1
"114","Caldwell",2017,519,81981,8,1605,1
"115","Camden",2017,38,10581,2,203,0
"116","Carteret",2017,677,68881,11,1400,0
"117","Caswell",2017,92,22646,4,455,0
"118","Catawba",2017,990,157974,24,3221,2
"119","Chatham",2017,204,71472,6,1307,1
"120","Cherokee",2017,197,28087,1,548,0
"121","Chowan",2017,46,14105,5,292,0
"122","Clay",2017,51,11074,1,194,0
"123","Cleveland",2017,480,97334,5,2165,0
"124","Columbus",2017,559,55936,10,1201,0
"125","Craven",2017,656,102578,31,1910,1
"126","Cumberland",2017,863,332546,65,7234,2
"127","Currituck",2017,110,26331,4,582,0
"128","Dare",2017,411,36099,9,1165,0
"129","Davidson",2017,843,165466,38,3372,0
"130","Davie",2017,172,42456,6,800,0
"131","Duplin",2017,163,59039,3,1220,0
"132","Durham",2017,1020,311640,37,6599,2
"133","Edgecombe",2017,150,52747,5,1666,0
"134","Forsyth",2017,1317,376320,62,7965,1
"135","Franklin",2017,248,66168,8,1386,0
"136","Gaston",2017,1590,220182,39,4911,1
"137","Gates",2017,35,11544,2,230,0
"138","Graham",2017,81,8541,0,210,0
"139","Granville",2017,280,59557,8,1130,0
"140","Greene",2017,66,21015,2,417,0
"141","Guilford",2017,1294,526953,91,12248,3
"142","Halifax",2017,225,51310,4,1477,0
"143","Harnett",2017,609,132754,28,2649,1
"144","Haywood",2017,600,61084,12,1149,1
"145","Henderson",2017,515,115708,20,2013,1
"146","Hertford",2017,79,23906,3,521,0
"147","Hoke",2017,147,54116,2,1133,0
"148","Hyde",2017,35,5363,2,174,0
"149","Iredell",2017,1067,175711,23,3625,2
"150","Jackson",2017,227,42973,7,898,0
"151","Johnston",2017,637,196708,23,3869,1
"152","Jones",2017,62,9597,4,193,0
"153","Lee",2017,484,60430,17,1342,1
"154","Lenoir",2017,287,56883,12,1230,0
"155","Lincoln",2017,464,82403,8,1666,0
"156","Macon",2017,187,34732,4,838,0
"157","Madison",2017,89,21746,3,698,0
"158","Martin",2017,145,22789,3,418,0
"159","McDowell",2017,264,45159,8,530,1
"160","Mecklenburg",2017,1735,1076837,149,25517,3
"161","Mitchell",2017,264,15072,0,313,0
"162","Montgomery",2017,202,27435,0,528,0
"163","Moore",2017,545,97264,8,1761,1
"164","Nash",2017,253,93991,6,2594,1
"165","New Hanover",2017,1630,227198,55,4865,1
"166","Northampton",2017,51,19862,2,476,0
"167","Onslow",2017,855,193893,22,3340,0
"168","Orange",2017,475,144946,5,2857,0
"169","Pamlico",2017,102,12689,6,245,0
"170","Pasquotank",2017,121,39743,6,946,0
"171","Pender",2017,450,60958,14,1276,0
"172","Perquimans",2017,39,13474,1,286,0
"173","Person",2017,397,39370,3,828,0
"174","Pitt",2017,811,179042,34,4286,3
"175","Polk",2017,129,20558,4,366,0
"176","Randolph",2017,682,143282,37,2874,0
"177","Richmond",2017,379,44798,2,991,0
"178","Robeson",2017,702,132606,9,3223,1
"179","Rockingham",2017,550,90949,13,2076,0
"180","Rowan",2017,877,140644,49,3003,1
"181","Rutherford",2017,310,66551,8,1472,0
"182","Sampson",2017,180,63430,6,1380,0
"183","Scotland",2017,159,35093,0,871,0
"184","Stanly",2017,394,61482,11,1212,0
"185","Stokes",2017,247,45717,13,904,0
"186","Surry",2017,555,72224,9,1383,0
"187","Swain",2017,218,14294,2,342,0
"188","Transylvania",2017,267,33956,1,604,0
"189","Tyrrell",2017,16,4052,0,113,0
"190","Union",2017,590,231366,27,4709,1
"191","Vance",2017,315,44211,13,1096,1
"192","Wake",2017,2599,1072203,93,22096,3
"193","Warren",2017,48,19883,0,461,0
"194","Washington",2017,46,12012,0,310,0
"195","Watauga",2017,156,55121,2,1145,1
"196","Wayne",2017,445,124172,17,2650,1
"197","Wilkes",2017,764,68576,7,1298,1
"198","Wilson",2017,242,81671,9,2563,1
"199","Yadkin",2017,268,37774,4,688,0
"200","Yancey",2017,182,17744,2,334,0
"201","Alamance",2018,760,166436,26,3057,0
"202","Alexander",2018,444,37353,3,571,0
"203","Alleghany",2018,60,11161,0,195,0
"204","Anson",2018,74,24877,3,464,0
"205","Ashe",2018,257,27109,3,458,0
"206","Avery",2018,215,17505,3,278,0
"207","Beaufort",2018,654,47079,8,906,0
"208","Bertie",2018,84,19026,3,386,0
"209","Bladen",2018,321,33190,6,759,0
"210","Brunswick",2018,1471,136744,19,2809,0
"211","Buncombe",2018,1500,259103,66,4168,3
"212","Burke",2018,893,90382,9,1480,0
"213","Cabarrus",2018,1023,211342,47,3875,1
"214","Caldwell",2018,696,82029,11,1403,1
"215","Camden",2018,34,10710,0,176,0
"216","Carteret",2018,723,69524,15,1380,0
"217","Caswell",2018,102,22698,3,433,0
"218","Catawba",2018,1119,158652,19,2783,2
"219","Chatham",2018,236,73139,7,1187,1
"220","Cherokee",2018,216,28383,1,504,0
"221","Chowan",2018,38,14029,1,248,0
"222","Clay",2018,55,11139,1,180,1
"223","Cleveland",2018,558,97645,8,1894,0
"224","Columbus",2018,763,55655,2,1115,0
"225","Craven",2018,717,102912,28,1755,1
"226","Cumberland",2018,1283,332330,59,6589,2
"227","Currituck",2018,108,27072,4,500,0
"228","Dare",2018,425,36501,11,1018,0
"229","Davidson",2018,1076,166614,25,2945,0
"230","Davie",2018,241,42733,7,707,0
"231","Duplin",2018,178,58856,1,1077,0
"232","Durham",2018,1216,316739,30,5954,2
"233","Edgecombe",2018,152,52005,9,1470,0
"234","Forsyth",2018,1477,379099,78,7169,1
"235","Franklin",2018,324,67560,18,1243,0
"236","Gaston",2018,1722,222846,28,4287,2
"237","Gates",2018,34,11573,2,213,0
"238","Graham",2018,87,8484,0,185,0
"239","Granville",2018,311,60115,5,1021,0
"240","Greene",2018,74,21012,2,366,0
"241","Guilford",2018,1486,533670,86,10949,3
"242","Halifax",2018,245,50574,11,1223,0
"243","Harnett",2018,822,134214,18,2479,1
"244","Haywood",2018,717,61971,13,1007,1
"245","Henderson",2018,656,116748,15,1778,1
"246","Hertford",2018,174,23659,2,460,0
"247","Hoke",2018,202,54764,4,1012,0
"248","Hyde",2018,37,5230,0,164,0
"249","Iredell",2018,1159,178435,20,3191,2
"250","Jackson",2018,290,43327,10,818,0
"251","Johnston",2018,750,202675,18,3554,1
"252","Jones",2018,66,9637,1,184,0
"253","Lee",2018,580,61452,11,1157,1
"254","Lenoir",2018,295,55976,4,1093,0
"255","Lincoln",2018,564,83770,10,1478,0
"256","Macon",2018,208,35285,1,717,0
"257","Madison",2018,134,21763,1,605,0
"258","Martin",2018,156,22671,3,366,0
"259","McDowell",2018,342,45507,6,462,1
"260","Mecklenburg",2018,1966,1093901,143,23088,3
"261","Mitchell",2018,308,15000,2,270,0
"262","Montgomery",2018,252,27271,3,461,0
"263","Moore",2018,699,98682,4,1572,1
"264","Nash",2018,284,94016,19,2209,1
"265","New Hanover",2018,1932,232274,56,4619,1
"266","Northampton",2018,42,19676,5,389,0
"267","Onslow",2018,882,197683,32,3099,0
"268","Orange",2018,500,146027,18,2538,0
"269","Pamlico",2018,107,12670,4,220,0
"270","Pasquotank",2018,140,39639,6,811,0
"271","Pender",2018,589,62162,8,1175,0
"272","Perquimans",2018,36,13422,1,242,0
"273","Person",2018,424,39507,5,755,0
"274","Pitt",2018,1093,179914,26,3832,3
"275","Polk",2018,130,20611,4,339,0
"276","Randolph",2018,858,143351,39,2494,0
"277","Richmond",2018,504,44887,3,903,0
"278","Robeson",2018,1002,131831,15,2913,1
"279","Rockingham",2018,681,90690,20,1836,0
"280","Rowan",2018,972,141262,33,2598,1
"281","Rutherford",2018,393,66826,8,1263,0
"282","Sampson",2018,203,63626,8,1176,0
"283","Scotland",2018,230,34810,3,841,0
"284","Stanly",2018,494,62075,21,1073,0
"285","Stokes",2018,331,45467,9,787,0
"286","Surry",2018,661,71948,16,1197,0
"287","Swain",2018,262,14245,3,297,0
"288","Transylvania",2018,308,34215,2,539,0
"289","Tyrrell",2018,15,4131,0,92,0
"290","Union",2018,670,235908,27,4256,1
"291","Vance",2018,363,44582,6,1010,1
"292","Wake",2018,3001,1092305,85,20006,4
"293","Warren",2018,71,19807,3,392,0
"294","Washington",2018,51,11859,0,274,0
"295","Watauga",2018,185,55945,1,1014,1
"296","Wayne",2018,481,123248,18,2266,1
"297","Wilkes",2018,895,68557,9,1135,1
"298","Wilson",2018,248,81455,6,2175,1
"299","Yadkin",2018,323,37543,6,596,0
"300","Yancey",2018,238,17903,1,297,0
"301","Alamance",2019,829,169509,23,3077,0
"302","Alexander",2019,454,37497,0,581,1
"303","Alleghany",2019,62,11137,1,202,0
"304","Anson",2019,91,24446,2,434,0
"305","Ashe",2019,281,27203,1,462,0
"306","Avery",2019,231,17557,0,272,0
"307","Beaufort",2019,824,46994,10,872,0
"308","Bertie",2019,68,18947,2,361,0
"309","Bladen",2019,371,32722,4,674,0
"310","Brunswick",2019,1553,142820,25,2802,0
"311","Buncombe",2019,1708,261191,83,4136,4
"312","Burke",2019,1027,90485,14,1487,0
"313","Cabarrus",2019,1152,216453,31,3860,1
"314","Caldwell",2019,831,82178,8,1438,1
"315","Camden",2019,26,10867,2,175,0
"316","Carteret",2019,646,69473,15,1292,0
"317","Caswell",2019,124,22604,3,431,0
"318","Catawba",2019,1226,159551,16,2771,2
"319","Chatham",2019,241,74470,4,1194,1
"320","Cherokee",2019,236,28612,7,489,0
"321","Chowan",2019,42,13943,3,250,0
"322","Clay",2019,58,11231,1,183,1
"323","Cleveland",2019,740,97947,6,1880,0
"324","Columbus",2019,966,55508,5,1098,0
"325","Craven",2019,733,102139,31,1647,1
"326","Cumberland",2019,1437,335509,76,6385,2
"327","Currituck",2019,111,27763,4,498,0
"328","Dare",2019,434,37009,13,921,0
"329","Davidson",2019,1130,167609,36,2912,1
"330","Davie",2019,282,42846,4,685,0
"331","Duplin",2019,181,58741,3,994,0
"332","Durham",2019,1392,321488,25,5779,2
"333","Edgecombe",2019,195,51472,10,1215,0
"334","Forsyth",2019,1622,382295,72,6898,2
"335","Franklin",2019,318,69685,16,1251,0
"336","Gaston",2019,2102,224529,27,4202,2
"337","Gates",2019,29,11562,2,208,0
"338","Graham",2019,135,8441,1,170,0
"339","Granville",2019,340,60443,8,994,0
"340","Greene",2019,86,21069,2,349,0
"341","Guilford",2019,1756,537174,101,10560,3
"342","Halifax",2019,224,50010,13,1129,0
"343","Harnett",2019,899,135976,35,2406,1
"344","Haywood",2019,766,62317,13,995,1
"345","Henderson",2019,616,117417,12,1781,1
"346","Hertford",2019,231,23677,6,461,0
"347","Hoke",2019,209,55234,9,975,0
"348","Hyde",2019,26,4937,2,161,0
"349","Iredell",2019,1255,181806,14,3185,2
"350","Jackson",2019,330,43938,7,810,0
"351","Johnston",2019,785,209339,29,3593,1
"352","Jones",2019,61,9419,3,164,0
"353","Lee",2019,678,61779,15,1142,1
"354","Lenoir",2019,333,55949,12,1031,0
"355","Lincoln",2019,643,86111,5,1521,0
"356","Macon",2019,234,35858,4,778,0
"357","Madison",2019,131,21755,3,596,0
"358","Martin",2019,165,22440,5,360,0
"359","McDowell",2019,453,45756,7,441,1
"360","Mecklenburg",2019,1986,1110356,139,22300,3
"361","Mitchell",2019,343,14964,0,270,0
"362","Montgomery",2019,309,27173,4,448,0
"363","Moore",2019,808,100880,18,1590,1
"364","Nash",2019,364,94298,11,2030,1
"365","New Hanover",2019,2039,234473,58,4343,2
"366","Northampton",2019,37,19483,2,388,0
"367","Onslow",2019,931,197938,24,2908,0
"368","Orange",2019,546,148476,13,2616,1
"369","Pamlico",2019,90,12726,6,198,0
"370","Pasquotank",2019,125,39824,12,754,1
"371","Pender",2019,626,63060,8,1118,0
"372","Perquimans",2019,35,13463,1,241,0
"373","Person",2019,439,39490,6,755,0
"374","Pitt",2019,1557,180742,31,3709,3
"375","Polk",2019,137,20724,1,334,0
"376","Randolph",2019,911,143667,45,2444,0
"377","Richmond",2019,680,44829,6,849,0
"378","Robeson",2019,1323,130625,41,2616,1
"379","Rockingham",2019,830,91010,16,1724,0
"380","Rowan",2019,1108,142088,38,2600,1
"381","Rutherford",2019,452,67029,4,1204,0
"382","Sampson",2019,244,63531,7,1089,0
"383","Scotland",2019,344,34823,5,738,0
"384","Stanly",2019,504,62806,16,1098,0
"385","Stokes",2019,351,45591,4,760,0
"386","Surry",2019,676,71783,12,1205,0
"387","Swain",2019,311,14271,5,272,0
"388","Transylvania",2019,340,34385,5,531,0
"389","Tyrrell",2019,13,4016,2,83,0
"390","Union",2019,693,239859,18,4243,1
"391","Vance",2019,369,44535,11,978,1
"392","Wake",2019,3130,1111761,94,19770,5
"393","Warren",2019,67,19731,1,365,0
"394","Washington",2019,51,11580,2,251,0
"395","Watauga",2019,207,56177,1,1000,1
"396","Wayne",2019,450,123131,29,2086,1
"397","Wilkes",2019,982,68412,9,1151,1
"398","Wilson",2019,238,81801,17,1964,1
"399","Yadkin",2019,407,37667,3,597,0
"400","Yancey",2019,262,18069,0,308,0
"401","Alamance",2020,696,169509,34,5512,0
"402","Alexander",2020,458,37497,6,1253,1
"403","Alleghany",2020,75,11137,0,291,0
"404","Anson",2020,70,24446,5,749,0
"405","Ashe",2020,301,27203,2,744,0
"406","Avery",2020,257,17557,1,435,0
"407","Beaufort",2020,785,46994,11,1157,0
"408","Bertie",2020,66,18947,1,455,0
"409","Bladen",2020,343,32722,17,987,0
"410","Brunswick",2020,1380,142820,35,4426,1
"411","Buncombe",2020,1861,261191,83,10772,5
"412","Burke",2020,934,90485,30,2701,1
"413","Cabarrus",2020,982,216453,54,7175,1
"414","Caldwell",2020,893,82178,21,2657,1
"415","Camden",2020,21,10867,3,238,0
"416","Carteret",2020,519,69473,32,1845,1
"417","Caswell",2020,106,22604,5,706,0
"418","Catawba",2020,1283,159551,36,5885,2
"419","Chatham",2020,211,74470,14,1811,1
"420","Cherokee",2020,253,28612,6,822,0
"421","Chowan",2020,36,13943,5,314,0
"422","Clay",2020,56,11231,1,286,1
"423","Cleveland",2020,758,97947,10,3580,1
"424","Columbus",2020,781,55508,16,1720,0
"425","Craven",2020,617,102139,41,2522,1
"426","Cumberland",2020,1206,335509,134,11286,2
"427","Currituck",2020,75,27763,12,841,0
"428","Dare",2020,354,37009,11,1844,0
"429","Davidson",2020,967,167609,76,5305,1
"430","Davie",2020,247,42846,11,1293,0
"431","Duplin",2020,191,58741,8,1309,0
"432","Durham",2020,1292,321488,62,10510,2
"433","Edgecombe",2020,223,51472,16,2046,0
"434","Forsyth",2020,1380,382295,99,12890,2
"435","Franklin",2020,266,69685,12,2011,0
"436","Gaston",2020,2056,224529,46,8281,2
"437","Gates",2020,24,11562,1,271,0
"438","Graham",2020,140,8441,5,288,0
"439","Granville",2020,295,60443,10,1628,0
"440","Greene",2020,67,21069,3,504,0
"441","Guilford",2020,1600,537174,117,20791,3
"442","Halifax",2020,199,50010,18,1720,1
"443","Harnett",2020,786,135976,45,3733,1
"444","Haywood",2020,713,62317,10,2045,1
"445","Henderson",2020,635,117417,27,3431,1
"446","Hertford",2020,194,23677,5,583,0
"447","Hoke",2020,191,55234,13,1613,0
"448","Hyde",2020,23,4937,1,176,0
"449","Iredell",2020,1189,181806,30,6186,2
"450","Jackson",2020,294,43938,20,1412,0
"451","Johnston",2020,685,209339,35,5939,1
"452","Jones",2020,57,9419,0,224,0
"453","Lee",2020,650,61779,26,1957,1
"454","Lenoir",2020,272,55949,16,1594,0
"455","Lincoln",2020,616,86111,12,2709,0
"456","Macon",2020,243,35858,6,1348,0
"457","Madison",2020,113,21755,4,977,0
"458","Martin",2020,149,22440,6,623,0
"459","McDowell",2020,455,45756,5,576,1
"460","Mecklenburg",2020,1892,1110356,167,45209,3
"461","Mitchell",2020,369,14964,3,433,0
"462","Montgomery",2020,264,27173,6,709,0
"463","Moore",2020,699,100880,21,2791,1
"464","Nash",2020,331,94298,22,3329,1
"465","New Hanover",2020,1780,234473,84,8302,2
"466","Northampton",2020,22,19483,5,513,0
"467","Onslow",2020,997,197938,46,4445,0
"468","Orange",2020,488,148476,18,3941,1
"469","Pamlico",2020,81,12726,10,278,0
"470","Pasquotank",2020,99,39824,20,1144,1
"471","Pender",2020,504,63060,14,1753,0
"472","Perquimans",2020,44,13463,8,312,0
"473","Person",2020,443,39490,7,1256,0
"474","Pitt",2020,1088,180742,48,5614,3
"475","Polk",2020,125,20724,4,527,0
"476","Randolph",2020,807,143667,67,4472,0
"477","Richmond",2020,717,44829,17,1433,0
"478","Robeson",2020,1358,130625,72,4128,1
"479","Rockingham",2020,701,91010,42,3075,0
"480","Rowan",2020,1046,142088,58,4883,1
"481","Rutherford",2020,448,67029,14,2148,0
"482","Sampson",2020,289,63531,7,1559,0
"483","Scotland",2020,334,34823,9,1286,0
"484","Stanly",2020,425,62806,24,1768,0
"485","Stokes",2020,276,45591,23,1275,0
"486","Surry",2020,650,71783,14,2115,0
"487","Swain",2020,329,14271,7,557,0
"488","Transylvania",2020,332,34385,5,819,0
"489","Tyrrell",2020,14,4016,1,112,0
"490","Union",2020,593,239859,35,6876,1
"491","Vance",2020,326,44535,16,1621,1
"492","Wake",2020,2688,1111761,160,35715,7
"493","Warren",2020,51,19731,8,601,0
"494","Washington",2020,50,11580,1,335,0
"495","Watauga",2020,177,56177,7,1645,1
"496","Wayne",2020,370,123131,21,3087,1
"497","Wilkes",2020,965,68412,15,1822,1
"498","Wilson",2020,209,81801,19,2885,1
"499","Yadkin",2020,371,37667,13,1162,0
"500","Yancey",2020,283,18069,3,510,0
"501","Alamance",2021,751,169509,40,3887,0
"502","Alexander",2021,467,37497,5,730,1
"503","Alleghany",2021,73,11137,0,195,0
"504","Anson",2021,86,24446,4,642,0
"505","Ashe",2021,283,27203,2,501,0
"506","Avery",2021,268,17557,0,291,0
"507","Beaufort",2021,785,46994,14,935,0
"508","Bertie",2021,58,18947,5,425,0
"509","Bladen",2021,336,32722,17,826,0
"510","Brunswick",2021,1367,142820,33,3247,1
"511","Buncombe",2021,1951,261191,89,5705,5
"512","Burke",2021,902,90485,38,1783,1
"513","Cabarrus",2021,947,216453,51,4809,1
"514","Caldwell",2021,912,82178,33,1733,1
"515","Camden",2021,14,10867,0,178,0
"516","Carteret",2021,500,69473,19,1282,1
"517","Caswell",2021,95,22604,0,503,0
"518","Catawba",2021,1405,159551,67,3564,2
"519","Chatham",2021,220,74470,22,1297,1
"520","Cherokee",2021,344,28612,15,526,0
"521","Chowan",2021,38,13943,1,272,0
"522","Clay",2021,67,11231,4,195,1
"523","Cleveland",2021,782,97947,11,2535,1
"524","Columbus",2021,793,55508,29,1406,0
"525","Craven",2021,697,102139,51,1904,1
"526","Cumberland",2021,1188,335509,150,8620,2
"527","Currituck",2021,65,27763,6,583,0
"528","Dare",2021,300,37009,9,1169,1
"529","Davidson",2021,929,167609,91,3588,1
"530","Davie",2021,272,42846,16,861,0
"531","Duplin",2021,221,58741,12,1063,0
"532","Durham",2021,1401,321488,80,7167,2
"533","Edgecombe",2021,241,51472,15,1729,0
"534","Forsyth",2021,1397,382295,109,8998,2
"535","Franklin",2021,295,69685,14,1509,0
"536","Gaston",2021,1924,224529,34,5657,2
"537","Gates",2021,20,11562,3,214,0
"538","Graham",2021,142,8441,3,208,0
"539","Granville",2021,291,60443,18,1177,1
"540","Greene",2021,63,21069,3,384,0
"541","Guilford",2021,1660,537174,173,14296,3
"542","Halifax",2021,199,50010,11,1432,1
"543","Harnett",2021,747,135976,45,2799,1
"544","Haywood",2021,705,62317,19,1225,2
"545","Henderson",2021,714,117417,22,2158,1
"546","Hertford",2021,178,23677,2,556,1
"547","Hoke",2021,187,55234,13,1280,0
"548","Hyde",2021,25,4937,0,115,0
"549","Iredell",2021,1264,181806,28,4131,2
"550","Jackson",2021,296,43938,14,877,0
"551","Johnston",2021,727,209339,41,4273,1
"552","Jones",2021,75,9419,1,176,0
"553","Lee",2021,588,61779,31,1366,1
"554","Lenoir",2021,250,55949,15,1332,0
"555","Lincoln",2021,648,86111,24,1784,0
"556","Macon",2021,257,35858,14,897,1
"557","Madison",2021,149,21755,4,644,0
"558","Martin",2021,155,22440,5,411,0
"559","McDowell",2021,488,45756,14,477,1
"560","Mecklenburg",2021,1849,1110356,169,30288,4
"561","Mitchell",2021,384,14964,4,305,0
"562","Montgomery",2021,260,27173,18,515,0
"563","Moore",2021,672,100880,18,1836,1
"564","Nash",2021,416,94298,27,2659,1
"565","New Hanover",2021,1793,234473,66,5197,2
"566","Northampton",2021,31,19483,2,447,0
"567","Onslow",2021,1069,197938,52,3338,0
"568","Orange",2021,525,148476,16,2738,1
"569","Pamlico",2021,87,12726,8,227,0
"570","Pasquotank",2021,119,39824,16,876,1
"571","Pender",2021,522,63060,15,1225,0
"572","Perquimans",2021,40,13463,4,256,0
"573","Person",2021,427,39490,5,913,0
"574","Pitt",2021,1101,180742,42,4398,3
"575","Polk",2021,123,20724,1,422,0
"576","Randolph",2021,802,143667,77,2976,0
"577","Richmond",2021,728,44829,25,1189,0
"578","Robeson",2021,1307,130625,93,3643,1
"579","Rockingham",2021,737,91010,44,2135,1
"580","Rowan",2021,1084,142088,54,3239,1
"581","Rutherford",2021,476,67029,16,1556,0
"582","Sampson",2021,290,63531,16,1251,0
"583","Scotland",2021,341,34823,14,1055,0
"584","Stanly",2021,462,62806,18,1284,0
"585","Stokes",2021,290,45591,26,886,0
"586","Surry",2021,695,71783,16,1393,0
"587","Swain",2021,316,14271,4,308,0
"588","Transylvania",2021,366,34385,3,577,0
"589","Tyrrell",2021,14,4016,1,90,0
"590","Union",2021,620,239859,32,4802,1
"591","Vance",2021,336,44535,13,1323,1
"592","Wake",2021,2917,1111761,148,23646,7
"593","Warren",2021,59,19731,3,496,0
"594","Washington",2021,63,11580,3,296,0
"595","Watauga",2021,199,56177,5,1039,1
"596","Wayne",2021,375,123131,21,2535,1
"597","Wilkes",2021,946,68412,15,1279,1
"598","Wilson",2021,236,81801,22,2251,1
"599","Yadkin",2021,365,37667,14,722,0
"600","Yancey",2021,297,18069,2,343,0
